22	海市蜃楼 Durante la tormenta	2018	7.8	西班牙语	128.0	2019-03-28(中国大陆)|2018-11-30(西班牙)	西班牙	科幻|悬疑|惊悚	悬疑|西班牙|平行宇宙|烧脑|时空|科幻|剧情|惊悚	小男孩尼克（胡里奥·博希加斯 Julio Bohigas-Couto 饰）在一个风雨交加的夜晚目睹了邻居安吉尔（哈维尔·古铁雷斯 Javier Gutiérrez 饰）杀害自己妻子的场面。在和安吉尔的追逐之中，一辆车将尼克撞倒，导致了他的死亡。一晃眼多年过去，薇拉（阿德丽安娜·尤加特 Adriana Ugarte 饰）和丈夫大卫（阿尔瓦罗·莫奇 Álvaro Morte 饰）带着他们的女儿住进了尼克曾经居住过的房子。                                    |                                　　有一个电闪雷鸣的夜晚，薇拉意外的在电视里看到了尼克，让薇拉感到震惊的是，自己似乎能够通过电视和25年前的尼克对话。在薇拉的告诫之下，尼克免于一死，但过去的改变也牵连着薇拉的生活发生了巨变。大卫不再是薇拉的丈夫，而他们的女儿自然也不复存在。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551172384.jpg
23	无名之辈	2018	8.1	汉语普通话 | 贵州话	108.0	2018-11-16(中国大陆)	中国大陆	剧情|喜剧	黑色幽默|小人物|方言|人性|喜剧|中国大陆|温情|剧情	来自乡村的笨贼眼镜（章宇 饰）和大头（潘斌龙 饰）抢了一家手机店，慌乱之中逃进坐着轮椅的单身女子嘉旗（任素汐 饰）的家中。嘉旗早已失去活着的欲望，她强横地要求俩笨贼杀死自己。另一边，某楼盘老板资金链断裂跑路，留下保安马先勇（陈建斌 饰）与讨债者周旋。马曾经是立功无数的协警，可就在转正的关头因为一场车祸毁了原本看似美好的一切。不久前他挖到一把喷子，原本打算交给当初的警察好友立功，却发现喷子被换成了水枪。而成为了新闻的手机抢劫案，让马先勇意识到喷子正在劫匪的手上。                                    |                                　　漫长的一天，所有与之相关的老老少少都在纠结煎熬。他们是渺小的无名之辈，却真真切切感受到来自命运的重压……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg
24	罗马 Roma	2018	8.2	西班牙语 | 米斯特克语 | 英语	135.0	2019-05-10(中国大陆)|2018-08-30(威尼斯电影节)|2018-12-14(美国)	墨西哥 | 美国	剧情|家庭	墨西哥|女性|黑白|文艺|剧情|家庭|2018|威尼斯电影节	故事发生在墨西哥城的一个中产阶级社区“罗马”，讲述年轻女佣克里奥（雅利扎·阿巴里西奥饰）在雇主索菲亚（玛丽娜·德·塔维拉饰）家中工作，该家中索菲亚的丈夫长期在外，由女佣克里奥照顾索菲的四个孩子。突如其来的两个意外，同时砸中了女佣克里奥和雇主索菲亚，两人究竟该如何面对苦涩茫然的生活？四位孩子似乎是希望所在。 这是以导演阿方索·卡隆的儿时记忆铸成的影片，而卡隆其实就是片中某一位小孩。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555541430.jpg
25	五尺天涯 Five Feet Apart	2019	8.0	英语	116.0	2019-03-15(美国)	美国	剧情|爱情	爱情|青春|感人|美国|恋爱|剧情|生命|2019	17岁女孩Stella和男孩Will身患囊肿性纤维化疾病，他们在医院治疗的过程中相识相爱，两人必须抓紧每分每秒活着的时间。他们的爱情能够战胜疾病和死亡吗？	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2538545442.jpg
26	无双 無雙	2018	8.1	汉语普通话 | 粤语 | 英语 | 泰语 | 波兰语	130.0	2018-09-30(中国大陆)|2018-10-04(香港)	中国大陆 | 香港	剧情|动作|悬疑|犯罪	香港|犯罪|悬疑|反转|警匪|剧情|动作|2018	身陷囹圄的李问（郭富城 饰）被引渡回港，他原本隶属于一个的跨国假钞制贩组织。该组织曾犯下过多宗恶性案件，而首脑“画家”不仅始终逍遥法外，连真面目都没人知道。为了逼迫李问吐露“画家”真实身份，警方不惜用足以判死刑的假罪证使其就范。就在此时，富有的遗孀阮文（张静初 饰）申请保释李问，而警方提出的条件依然是“画家”的真面目。                                    |                                　　原来早在十数年前，李问和阮文是一对画家情侣，无奈女友的作品受人青睐，李问的画作却被贬得一文不值。就在此困顿期间，他制作假画的才能被“画家”（周润发 饰）发掘，进而成为对方美元假币团伙中的一员……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg
27	我的一级兄弟 나의 특별한 형제	2019	8.2	韩语	114.0	2019-05-01(韩国)	韩国	喜剧	韩国|温情|感动|喜剧|2019|励志|家庭|剧情	申河均、李光洙将加盟喜剧温情片[我的一级兄弟]，该片由陆相孝执导，讲述肢体残疾一级的男子(申河均饰)与精神障碍一级的男子(李光洙饰)相遇后发生的故事。影片计划5月初开拍。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2548467439.jpg
28	风中有朵雨做的云	2018	7.2	汉语普通话 | 粤语	124.0	2019-04-04(中国大陆)|2018-11-09(台北金马影展)	中国大陆	剧情|悬疑|犯罪	犯罪|悬疑|人性|剧情|中国大陆|文艺|社会|2018	城建委主任唐奕杰（张颂文 饰）在动员钉子户搬迁现场坠楼身亡，年轻警官杨家栋（井柏然 饰）负责调查此案，因此结识了唐奕杰的妻子林慧（宋佳 饰）和女儿唐小诺（马思纯 饰）。通过唐小诺，杨家栋得知唐奕杰和林慧之间的感情并不和睦，不仅如此，林慧还曾患有精神分裂症。                                    |                                　　唐奕杰生前和紫金企业的负责人姜紫成（秦昊 饰）交往甚密，而林慧亦曾是姜紫成的女友，除此之外，姜紫成的合伙人连阿云（陈妍希 饰）一直下落不明，这一切都和唐奕杰一家人有着密不可分的关联。在林慧和姜紫成的算计之下，杨家栋不仅身败名裂还背负上了杀人的罪名无奈逃亡香港，但他对凶手的追踪却并没有画上休止。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552522615.jpg
29	雷霆沙赞！ Shazam!	2019	6.5	英语	132.0	2019-04-05(美国/中国大陆)	美国	动作|奇幻|冒险	DC|超级英雄|沙雕|美国|喜剧|漫画改编|2019|科幻	因儿时与母亲失散，少年比利（亚瑟·安其 Asher Angel 饰）辗转多个家庭，却执着地要回到妈妈身边。当他再度栖身一个由养子养女的大家庭时，却阴差阳错来到某个未知的领域，并且成为古老巫师的继承人。当他喊出“沙赞”时，便会瞬间变成拥有强壮成年人身体的超级英雄雷霆沙赞（扎克瑞·莱维 Zachary Levi 饰）。比利兴奋不已，和新家的兄弟——患有腿部残疾的弗雷迪（杰克·迪伦·格雷泽 Jack Dylan Grazer 饰）共同分享这份快乐，两人更将展现各种超能力的视频上传网络，流布四方。结果，心怀叵测的赛迪斯·希瓦纳博士（马克·斯特朗 Mark Strong 饰）找上门来。                                    |                                　　希瓦纳童年时曾与沙赞身份失之交臂，一直不受父亲兄长待见的他将灵魂出卖给七宗罪魔鬼，他更企图摧毁那个让他求之不得又恨之入骨的雷霆沙赞……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551249211.jpg
30	西虹市首富	2018	6.5	汉语普通话	118.0	2018-07-27(中国大陆)	中国大陆	喜剧	喜剧|开心麻花|搞笑|2018|黑色幽默|讽刺|中国大陆|人性	西虹市丙级球队大翔队的守门员王多鱼（沈腾 饰）因比赛失利被教练开除，一筹莫展之际王多鱼突然收到神秘人士金老板（张晨光 饰）的邀请，被告知自己竟然是保险大亨王老太爷（李立群 饰）的唯一继承人，遗产高达百亿！但是王老太爷给出了一个非常奇葩的条件，那就是要求王多鱼在一个月内花光十亿，还不能告诉身边人，否则失去继承权。王多鱼毫不犹豫签下了“军令状”，与好友庄强（张一鸣 饰）以及财务夏竹（宋芸桦 饰）一起开启了“挥金之旅”，即将成为西虹市首富的王多鱼，第一次感受到了做富人的快乐，同时也发现想要挥金如土实在没有那么简单！	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg
31	白蛇：缘起	2019	7.9	汉语普通话	99.0	2019-01-11(中国大陆)	中国大陆 | 美国	爱情|动画|奇幻	动画|爱情|唯美|中国|古装|奇幻|中国大陆|神话	幽暗洞中，白蛇（张喆 配音）苦苦修炼却不得其法，小青见此情景，将发髻上的碧玉簪子取下，令白蛇攥在手中。那一刻，五百年前的记忆瞬间苏醒。五百年前，晚唐君主昏聩庸碌，掌握邪术的国师只手遮天，命令天下百姓捕蛇修法。为了拯救族群，白蛇冒险行刺，结果却遭遇挫败，还失去了记忆。当她再度醒来，发现自己被一个专门捕蛇的村落所救下，而那个胆小却善良的青年许宣（杨天翔 配音）则吸引了白蛇的注意。与此同时，国师派出爪牙四处追寻白蛇的下落，而蛇族更误解白蛇叛逃人类，接二连三派出杀手。                                    |                                　　五百年后的一段姻缘，早在这乱世之间便已缔结……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544313786.jpg
