26	庄文强	周润发|郭富城|张静初|冯文娟|廖启智|周家怡|王耀庆|方中信|高捷|邢佳栋|张松枝|张建声|吴嘉龙|孙佳君
27	陆相孝	申河均|李光洙|李絮|朴哲民|权海虓|吉海妍|金重基|崔光一|禹志贤
28	娄烨	井柏然|宋佳|马思纯|秦昊|陈妍希|张颂文|陈冠希|颜卓灵|王维申|胡伶|黄伊凡|陈伟榕|单宝中|梁致力|罗义民
29	大卫·F·桑德伯格	扎克瑞·莱维|马克·斯特朗|亚瑟·安其|杰克·迪伦·格雷泽|杰曼·翰苏|费斯·赫尔曼|约文·阿曼德|陈琦烨|格蕾丝·富尔顿|亚当·布罗迪|梅根·古德|米歇尔·博斯|罗斯·巴特勒|马尔塔·米兰斯|库珀·安德鲁斯|罗维娜·亚瓦里|埃文·马什|娜塔莉亚·姗福瑞|D·J·科特罗纳|艾娃·普雷斯顿|安迪·奥修|卡尔森·迈克马克|莎伊娜·瑞恩|莎拉·贝纳尼|安吉莉卡·利斯克|辛迪·戴|洛塔·洛森|西蒙·诺斯伍德|戴维·科赫史密斯|卢·卢·萨夫兰|亚当·罗德内斯|杰夫·桑卡|阿里·巴德沙阿|大卫·J·麦克尼尔|达娜·雷兹尼克|迪索·拉莫斯
30	闫非|彭大魔	沈腾|宋芸桦|张一鸣|张晨光|常远|魏翔|赵自强|九孔|李立群|王成思|徐冬冬|艾伦|杨皓宇|黄才伦|王力宏|包贝尔|郎咸平|张绍刚|杨文哲|陶亮|王赞|黄杨|刘鉴|杨沅翰|林炳宝|骆佳|陈昊明|臧一人
31	黄家康|赵霁	张喆|杨天翔|唐小喜|刘薇|张遥函|郑小璞|张博恒|张赫|马程|程寅|陈霖生|惠龙|林强|章斌
32	乔丹·皮尔	露皮塔·尼永奥|温斯顿·杜克|伊丽莎白·莫斯|蒂姆·海德克|莎哈迪·赖特·约瑟夫|伊万·艾利克斯|叶海亚·阿卜杜勒-迈丁|安娜·迪奥普|卡莉·谢尔顿|诺尔·谢尔顿|麦迪逊·柯里|纳皮埃拉·格罗夫斯|杜克·尼科尔森|内森·哈灵顿|卡拉·海沃德
33	迪恩·德布洛斯	杰伊·巴鲁切尔|亚美莉卡·费雷拉|F·默里·亚伯拉罕|凯特·布兰切特|杰拉德·巴特勒|克雷格·费格森|乔纳·希尔|克里斯托夫·梅兹-普莱瑟|克里斯汀·韦格|基特·哈灵顿|罗宾·阿特金·唐斯|基隆·埃利奥特|吉迪恩·埃默里|阿什利·詹森|奥拉维尔·达里·奥拉夫松|詹姆士·谢|大卫·田纳特
34	菲尔·约翰斯顿|瑞奇·摩尔	约翰·C·赖利|萨拉·西尔弗曼|盖尔·加朵|塔拉吉·P·汉森|杰克·麦克布瑞尔|简·林奇|艾伦·图代克|阿尔弗雷德·莫里纳|艾德·奥尼尔|肖恩·吉布朗尼|弗卢拉·博格|蒂莫西·西蒙斯|黄阿丽|韩秘书·布雷克|葛洛泽尔·格林|瑞贝卡·薇索基|山姆·理查森|雅布其·杨-怀特|莫里斯·拉马奇|梅丽莎·维拉斯诺|凯蒂·洛斯|贾米·埃曼|霍拉提奥·桑斯|亚历克斯·莫法特|琼·斯奎布|德拉·萨巴|菲尔·约翰斯顿|约翰·迪·玛吉欧|瑞奇·摩尔|科琳·巴林杰|达尼·费尔南德斯|蒂芙妮·赫雷拉|阿娜·奥缇兹|迪安娜·阿格隆|杰森·曼兹沃克斯|雷蒙德·S·佩尔西|伏霞|罗杰·克莱格·史密斯|蒂姆·艾伦|布拉德·加内特|安东尼·丹尼尔斯|科里·伯顿|范·迪塞尔|维韦卡·波林|迈克·吉亚奇诺|凯文·迪特斯|尼可·斯彻金格|丹·雷诺斯|艾琳·贝达|克里斯汀·贝尔|裘蒂·班森|奥丽伊·卡瓦洛|詹妮弗·黑尔|凯特·希金斯|琳达·拉金|凯莉·麦克唐纳|伊迪娜·门泽尔|曼迪·摩尔|佩吉·奥哈拉|帕米拉·里本|阿尼卡·诺尼·罗斯|温明娜|珍妮卡·贝尔格雷|比尔·哈德尔
35	大卫·叶茨	埃迪·雷德梅恩|凯瑟琳·沃特斯顿|约翰尼·德普|裘德·洛|埃兹拉·米勒|丹·福勒|艾莉森·萨多尔|佐伊·克罗维兹|卡勒姆·特纳|金秀贤|威廉·纳迪兰|凯文·格思里|卡门·艾乔戈|沃尔夫·罗特|德里克·里德尔|科内尔·约翰|英格瓦·埃盖特·西古德松|波佩·科比-特曲|西蒙·米考克|大卫·樱井|维多利亚·耶茨|奥拉维尔·达里·奥拉夫松|大卫·威尔莫特|艾德·高根|奥莉维亚·波皮卡|阿尔菲·西蒙斯|菲奥娜·格拉斯科特|杰米·坎贝尔·鲍尔|托比·瑞格波|约书亚·谢伊|布隆蒂斯·佐杜洛夫斯基|杰西卡·威廉姆斯|欧文·弗热瑞|休·夸希|塔希尔·布尔汉|迈克尔·科布|萨比恩·克洛森|亚历珊德拉·福特|肖恩·吉斯灵厄姆|通恰伊·古奈什|迈克尔·海登|露丝·霍洛克斯|泰·赫尔利|纳西尔·贾玛|卡米尔·雷米泽斯基|迪诺·布加迪
